Age,Gender,Marital Status,Income,home_ownership,length_of_employment,purpose_of_loan,loan_grade,loan_amount,interest_rate,loan_status,loan_percent_income,History_of_Default,Length_of_Default_History,Debt-to-Income Ratio,Length_of_employment in years
22,0,4,59000,RENT,156,PERSONAL USE,D,35000,16,1,0.59,Y,3,0.593220339,13
23,1,2,92111,RENT,7,MEDICAL PURPOSES,F,35000,20,1,0.32,N,4,0.379976333,0.583333333
23,1,4,113000,RENT,8,DEBT CONSOLIDATION,D,35000,18,1,0.31,N,4,0.309734513,0.666666667
24,1,3,10800,MORTGAGE,8,EDUCATION,B,1750,11,1,0.16,N,2,0.162037037,0.666666667
22,0,3,65000,RENT,4,EDUCATION,D,34000,18,1,0.52,N,4,0.523076923,0.333333333
22,0,1,80000,RENT,3,PERSONAL USE,D,33950,15,1,0.42,Y,4,0.424375,0.25
24,1,0,67746,RENT,8,HOME RENOVATIONS,C,33000,13,1,0.49,N,3,0.48711363,0.666666667
21,0,1,11000,MORTGAGE,3,BUSINESS USE,E,4575,18,1,0.42,Y,3,0.415909091,0.25
24,0,1,65000,RENT,6,HOME RENOVATIONS,B,32500,10,1,0.5,N,3,0.5,0.5
21,0,3,11389,OTHER,5,EDUCATION,C,4000,13,1,0.35,Y,2,0.351216086,0.416666667
21,1,2,11520,OWN,5,MEDICAL PURPOSES,B,2000,11,1,0.17,N,3,0.173611111,0.416666667
26,0,2,95000,RENT,7,HOME RENOVATIONS,C,31050,14,1,0.33,Y,3,0.326842105,0.583333333
21,1,2,12000,OWN,5,EDUCATION,A,2500,8,1,0.21,N,4,0.208333333,0.416666667
22,0,3,48000,RENT,1,EDUCATION,E,30000,18,1,0.63,N,2,0.625,0.083333333
24,0,3,64000,RENT,8,DEBT CONSOLIDATION,D,30000,15,1,0.47,Y,3,0.46875,0.666666667
25,0,1,75000,RENT,4,HOME RENOVATIONS,D,30000,17,1,0.4,Y,4,0.4,0.333333333
23,0,0,71500,RENT,3,DEBT CONSOLIDATION,D,30000,11.04695559,1,0.42,N,4,0.41958042,0.25
26,0,1,62050,RENT,6,MEDICAL PURPOSES,E,30000,18,1,0.41,N,2,0.483481064,0.5
24,1,2,12000,OWN,4,BUSINESS USE,B,2500,13,1,0.21,N,3,0.208333333,0.333333333
26,0,0,80690,RENT,8,PERSONAL USE,A,30000,7,1,0.37,N,3,0.371793283,0.666666667
22,1,3,66300,RENT,4,MEDICAL PURPOSES,B,30000,13,1,0.38,N,3,0.452488688,0.333333333
26,1,3,89028,RENT,0,DEBT CONSOLIDATION,A,30000,7,1,0.34,N,3,0.336972638,0
24,0,0,78000,RENT,4,DEBT CONSOLIDATION,D,30000,11.04695559,1,0.38,Y,4,0.384615385,0.333333333
23,1,0,78000,RENT,7,DEBT CONSOLIDATION,F,30000,19,1,0.38,Y,3,0.384615385,0.583333333
23,1,3,92004,RENT,6,PERSONAL USE,C,30000,15,1,0.33,Y,3,0.326072779,0.5
23,0,2,97000,RENT,7,BUSINESS USE,B,30000,11,1,0.31,N,2,0.309278351,0.583333333
26,0,2,263000,MORTGAGE,0,EDUCATION,B,10000,11.04695559,1,0.04,N,4,0.038022814,0
25,0,3,221850,MORTGAGE,9,MEDICAL PURPOSES,D,25000,16,1,0.1,N,2,0.112688754,0.75
22,0,3,70000,RENT,6,EDUCATION,D,29100,16,1,0.42,N,3,0.415714286,0.5
26,0,1,260000,OWN,10,HOME RENOVATIONS,B,28000,11,0,0.11,N,3,0.107692308,0.833333333
25,0,4,259000,MORTGAGE,9,HOME RENOVATIONS,D,20000,14,0,0.08,Y,2,0.077220077,0.75
24,1,2,255000,MORTGAGE,9,EDUCATION,A,9600,7,0,0.04,N,2,0.037647059,0.75
25,0,2,250000,RENT,2,MEDICAL PURPOSES,C,25000,13,0,0.1,N,4,0.1,0.166666667
25,0,3,12000,OWN,0,MEDICAL PURPOSES,C,3000,11.04695559,1,0.25,N,3,0.25,0
22,0,0,56950,RENT,6,MEDICAL PURPOSES,A,28000,11.04695559,1,0.49,N,2,0.49165935,0.5
21,0,2,12000,OWN,6,EDUCATION,C,3000,14,1,0.25,Y,3,0.25,0.5
23,1,0,65000,RENT,2,EDUCATION,A,28000,8,1,0.43,N,2,0.430769231,0.166666667
26,1,3,85000,RENT,2,BUSINESS USE,A,28000,7,1,0.33,N,3,0.329411765,0.166666667
26,0,3,12000,OWN,2,EDUCATION,A,6100,8,1,0.51,N,3,0.508333333,0.166666667
22,1,2,88000,RENT,6,BUSINESS USE,B,28000,10,1,0.32,N,3,0.318181818,0.5
21,0,1,12000,OWN,0,PERSONAL USE,C,4200,13,1,0.35,Y,4,0.35,0
22,0,0,12000,OWN,6,DEBT CONSOLIDATION,A,4750,7,1,0.4,N,2,0.395833333,0.5
24,1,1,83004,RENT,0,BUSINESS USE,D,28000,16,1,0.34,Y,4,0.337333141,0
24,1,2,250000,RENT,2,EDUCATION,C,18000,13,0,0.07,Y,3,0.072,0.166666667
144,0,3,250000,RENT,4,BUSINESS USE,C,4800,14,0,0.02,N,3,0.0192,0.333333333
25,0,1,100000,RENT,5,DEBT CONSOLIDATION,B,28000,13,0,0.28,N,3,0.28,0.416666667
26,0,3,110000,RENT,10,EDUCATION,A,28000,9,0,0.25,N,2,0.254545455,0.833333333
26,0,3,12000,OWN,0,DEBT CONSOLIDATION,A,2700,11.04695559,1,0.23,N,4,0.225,0
22,0,4,108000,RENT,6,EDUCATION,B,28000,11.04695559,1,0.26,N,4,0.259259259,0.5
23,1,2,151200,RENT,7,DEBT CONSOLIDATION,B,28000,11,0,0.19,N,2,0.185185185,0.583333333
24,0,1,69000,RENT,2,HOME RENOVATIONS,A,27600,11.04695559,1,0.4,N,2,0.4,0.166666667
21,1,2,12000,MORTGAGE,5,DEBT CONSOLIDATION,E,3250,16,1,0.27,Y,3,0.270833333,0.416666667
22,1,1,70000,RENT,4,EDUCATION,C,27500,13,1,0.39,Y,3,0.392857143,0.333333333
22,0,1,240000,OWN,6,PERSONAL USE,B,25000,11.04695559,0,0.1,N,2,0.104166667,0.5
26,0,2,73200,RENT,5,BUSINESS USE,D,27050,16,1,0.37,Y,2,0.369535519,0.416666667
24,0,2,83000,RENT,5,PERSONAL USE,C,27000,13,1,0.33,Y,2,0.325301205,0.416666667
24,1,0,73399,RENT,0,BUSINESS USE,D,27000,11.04695559,1,0.37,N,3,0.367852423,0
23,0,3,62500,RENT,7,MEDICAL PURPOSES,B,26000,12,1,0.42,N,2,0.416,0.583333333
23,0,0,120000,RENT,1,EDUCATION,B,25600,13,0,0.21,N,3,0.213333333,0.083333333
24,0,1,12360,OWN,2,MEDICAL PURPOSES,C,1600,14,0,0.13,N,3,0.129449838,0.166666667
22,0,4,60000,RENT,0,BUSINESS USE,B,25475,11,1,0.42,N,3,0.424583333,0
25,0,2,234000,MORTGAGE,3,MEDICAL PURPOSES,C,20000,14,0,0.09,Y,4,0.085470085,0.25
24,1,1,234000,OWN,8,HOME RENOVATIONS,B,20000,9,0,0.09,N,4,0.085470085,0.666666667
26,1,1,234000,MORTGAGE,10,HOME RENOVATIONS,B,21600,12,0,0.09,N,3,0.092307692,0.833333333
25,0,3,221004,MORTGAGE,6,DEBT CONSOLIDATION,D,11900,14,1,0.05,Y,3,0.053845179,0.5
